"subject","label","lat","long","pop","thumb","comment","abstract","link"
"http://dbpedia.org/resource/London","London","51.50722122192383","-0.1274999976158142",8173194,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/London_collage.jpg/200px-London_collage.jpg","London Listen/ˈlʌndən/ is the capital of England and the United Kingdom, and the largest municipality, urban zone and metropolitan area in the United Kingdom, and the European Union by most measures. Located on the River Thames, London has been a major settlement for two millennia, its history going back to its founding by the Romans, who named it Londinium. London's ancient core, the City of London, largely retains its square-mile mediaeval boundaries.","London Listen/ˈlʌndən/ is the capital of England and the United Kingdom, and the largest municipality, urban zone and metropolitan area in the United Kingdom, and the European Union by most measures. Located on the River Thames, London has been a major settlement for two millennia, its history going back to its founding by the Romans, who named it Londinium. London's ancient core, the City of London, largely retains its square-mile mediaeval boundaries. Since at least the 19th century, the name London has also referred to the metropolis developed around this core. The bulk of this conurbation forms the London region and the Greater London administrative area, governed by the elected Mayor of London and the London Assembly. London is a leading global city, with strengths in the arts, commerce, education, entertainment, fashion, finance, healthcare, media, professional services, research and development, tourism and transport all contributing to its prominence. It is one of the world's leading financial centres and has the fifth- or sixth-largest metropolitan area GDP in the world depending on measurement. London has been described as a world cultural capital. It is the world's most-visited city as measured by international arrivals and has the world's largest city airport system measured by passenger traffic. London's 43 universities form the largest concentration of higher education in Europe. In 2012, London became the first city to host the modern Summer Olympic Games three times. London has a diverse range of peoples and cultures, and more than 300 languages are spoken within its boundaries. The 2011 census revealed that around three quarters of Londoners were Britons and 60% of inhabitants were white, and that 45% of residents were white Britons, making them a minority in the city for the first time. London had an official population of 8,174,100, making it the most populous municipality in the European Union, and accounting for 12.5% of the UK population. The Greater London Urban Area is the second-largest in the EU with a population of 8,278,251, while the London metropolitan area is the largest in the EU with an estimated total population of 15,010,295. London had the largest population of any city in the world from around 1831 to 1925. London contains four World Heritage Sites: the Tower of London; Kew Gardens; the site comprising the Palace of Westminster, Westminster Abbey, and St Margaret's Church; and the historic settlement of Greenwich. Other famous landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge, Trafalgar Square, and The Shard. London is home to numerous museums, galleries, libraries, sporting events and other cultural institutions, including the British Museum, National Gallery, Tate Modern, British Library and 40 West End theatres. The London Underground is the oldest underground railway network in the world.","http://www.london.gov.uk/"
"http://dbpedia.org/resource/North_London","North London","51.36000061035156","0.05999999865889549",4721700,"http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/London_north_south_boundary_com.png/200px-London_north_south_boundary_com.png","North London is the northern part of London, England. It is an imprecise description and the area it covers is defined differently for a range of purposes. Common to these definitions is that it includes districts located north of the River Thames and is used in comparison with South London. However, it is also often used in comparisons with Central London, East London and West London.","North London is the northern part of London, England. It is an imprecise description and the area it covers is defined differently for a range of purposes. Common to these definitions is that it includes districts located north of the River Thames and is used in comparison with South London. However, it is also often used in comparisons with Central London, East London and West London.",
"http://dbpedia.org/resource/Leeds_City_Region","Leeds City Region","53.79999923706055","-1.549000024795532",3000000,"http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Leeds_City_Region.jpg/200px-Leeds_City_Region.jpg","The Leeds City Region is a city region in the North of England centred on Leeds, West Yorkshire. The activities of the city region are coordinated by the Leeds City Region Partnership. Since April 2007 strategic local governance decisions have been made by the joint committee of the Leeds City Region Leaders Board.","The Leeds City Region is a city region in the North of England centred on Leeds, West Yorkshire. The activities of the city region are coordinated by the Leeds City Region Partnership. Since April 2007 strategic local governance decisions have been made by the joint committee of the Leeds City Region Leaders Board. A multi-area agreement was established in 2008 and since 2011 economic development has been supported by the Leeds City Region LEP, which forms a business-led local enterprise partnership. As part of a 2012 'city deal' a West Yorkshire Combined Authority will be established in order receive devolved powers for transport, economic development and regeneration. The secretariat for the city region is based within Leeds City Council. This sub-region (defined by local labour markets and journey-to-work areas) covers the whole of West Yorkshire and parts of neighbouring North and South Yorkshire; that is, the ten local authority districts of Barnsley, Bradford, Calderdale, Craven, Harrogate, Kirklees, Leeds, Selby, Wakefield, and York. With close to 3 million people, a resident workforce of 1.4 million, over 100,000 businesses and an economy worth £52 billion per year, the economy is larger than some European countries economies, which makes the Leeds City Region a major economy. The region is diverse and has many centres, both geographically and culturally. It is one of eight city regions defined in the 2004 document Moving Forward: The Northern Way, a collaboration between the three northern Regional Development Agencies which is a part of the 20 year government strategy to grow the economy of Northern England. As a partnership, the Leeds City Region is firmly established and has in operation an accountable decision making structure, which involves the Leaders of all eleven partner authorities. It has made several successful bids for government funded economic development projects.","http://www.leedscityregion.gov.uk/"
"http://dbpedia.org/resource/South_London","South London","51.45000076293945","-0.1000000014901161",2835200,"http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/South_London.png/200px-South_London.png","South London is the southern part of London, England, United Kingdom. According to the 2011 official Boundary Commission for England definition, South London includes the London boroughs of Bexley, Bromley, Croydon, Greenwich, Kingston, Lambeth, Lewisham, Merton, Southwark, Sutton and Wandsworth.","South London is the southern part of London, England, United Kingdom. According to the 2011 official Boundary Commission for England definition, South London includes the London boroughs of Bexley, Bromley, Croydon, Greenwich, Kingston, Lambeth, Lewisham, Merton, Southwark, Sutton and Wandsworth.",
"http://dbpedia.org/resource/City_of_Sunderland","City of Sunderland","54.90999984741211","-1.384999990463257",280807,"http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/SunderlandMontage.jpg/200px-SunderlandMontage.jpg","The City of Sunderland /ˈsʌndərlənd/ is a local government district of Tyne and Wear, in North East England, with the status of a city and metropolitan borough. It is named after its largest settlement, Sunderland, but covers a far larger area which includes the towns of Hetton-le-Hole, Houghton-le-Spring, Washington, and a range of suburban villages.","The City of Sunderland /ˈsʌndərlənd/ is a local government district of Tyne and Wear, in North East England, with the status of a city and metropolitan borough. It is named after its largest settlement, Sunderland, but covers a far larger area which includes the towns of Hetton-le-Hole, Houghton-le-Spring, Washington, and a range of suburban villages. The district was formed in 1974 as the Metropolitan Borough of Sunderland as part of the provisions of the Local Government Act 1972 and is an amalgamation of four former local government districts of County Durham. It was granted city status in 1992, the 40th anniversary of the Queen Elizabeth II's accession. The city had a population of 280,807 at the time of the 2001 census, with the majority of the population (177,739) residing in Sunderland. The 'Sunderland Urban Area' is quoted alternatively as having a population of around 200,000.","http://www.sunderland.gov.uk/"
"http://dbpedia.org/resource/Brighton_and_Hove","Brighton and Hove","50.82777786254883","-0.1527777761220932",273400,"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Brighton_and_Hove_UK_locator_map.svg/200px-Brighton_and_Hove_UK_locator_map.svg.png","Brighton and Hove is a unitary authority area and city in the ceremonial county of East Sussex, England. It is England's most populous seaside resort. The unitary authority was formed from the unification of Brighton Borough Council and Hove Borough Council in 1997. The towns were granted city status by Queen Elizabeth II as part of the millennium celebrations in 2000.","Brighton and Hove is a unitary authority area and city in the ceremonial county of East Sussex, England. It is England's most populous seaside resort. The unitary authority was formed from the unification of Brighton Borough Council and Hove Borough Council in 1997. The towns were granted city status by Queen Elizabeth II as part of the millennium celebrations in 2000. ""Brighton"" is often referred to synonymously with the official ""Brighton and Hove"" name although many locals still consider the two to be separate towns. Brighton and Hove forms part of the Brighton/Worthing/Littlehampton conurbation which is the 12th largest conurbation in the United Kingdom.",
"http://dbpedia.org/resource/Calderdale","Calderdale","53.72000122070312","-1.970000028610229",200100,"http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Coat_of_arms_of_Calderdale_Metropolitan_Borough_Council.png/200px-Coat_of_arms_of_Calderdale_Metropolitan_Borough_Council.png","The Metropolitan Borough of Calderdale is a metropolitan borough of West Yorkshire, England, through which the upper part of the River Calder flows, and from which it takes its name. There are also some small river valleys that contain tributaries of the River Calder. Calderdale was formed by the merger of six former local government districts, spanning (from east to west), the towns of Brighouse, Elland, Halifax, Sowerby Bridge, Hebden Bridge and Todmorden.","The Metropolitan Borough of Calderdale is a metropolitan borough of West Yorkshire, England, through which the upper part of the River Calder flows, and from which it takes its name. There are also some small river valleys that contain tributaries of the River Calder. Calderdale was formed by the merger of six former local government districts, spanning (from east to west), the towns of Brighouse, Elland, Halifax, Sowerby Bridge, Hebden Bridge and Todmorden. Halifax is the main commercial, cultural and administrative centre of the borough, with numerous high street chain stores, markets, central library, borough council offices, public transport hub, central police station and the further and higher education college, as well as other major local organisations. Calderdale covers part of the South Pennines and is the southernmost of the Yorkshire Dales, but is not as well known as its northern neighbours because it is not part of the Yorkshire Dales national park.","http://www.calderdale.gov.uk/"
"http://dbpedia.org/resource/South_Tyneside","South Tyneside","54.95899963378906","-1.437999963760376",152875,"http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Coat_of_arms_of_South_Tyneside_Metropolitan_Borough_Council.png/200px-Coat_of_arms_of_South_Tyneside_Metropolitan_Borough_Council.png","South Tyneside is a metropolitan borough in Tyne and Wear in North East England. It is bordered by four other boroughs - Newcastle upon Tyne and Gateshead to the west, Sunderland in the south, and North Tyneside to the north. The border county of Northumberland lies further north. The borough was formed on 1 April 1974 by the merger of the County Borough of South Shields along with the municipal borough of Jarrow and the urban districts of Boldon and Hebburn from County Durham.","South Tyneside is a metropolitan borough in Tyne and Wear in North East England. It is bordered by four other boroughs - Newcastle upon Tyne and Gateshead to the west, Sunderland in the south, and North Tyneside to the north. The border county of Northumberland lies further north. The borough was formed on 1 April 1974 by the merger of the County Borough of South Shields along with the municipal borough of Jarrow and the urban districts of Boldon and Hebburn from County Durham. South Tyneside forms part of the Tyneside conurbation, the sixth largest in the United Kingdom, with a geographical area of 64.43 km and an estimated population of 153,700 (Mid-year 2010). It is bordered to the east by the North Sea and to the north by the River Tyne. A Green Belt of 23.64 km is at its southern boundary. The main administrative centre and largest town is South Shields. Other riverside towns are Jarrow and Hebburn, while the villages of Cleadon, Whitburn and The Boldons border the South Tyneside green belt which borders Wearside to the south at Sunderland. South Tyneside is represented by two Members of Parliament with two constituencies at South Shields and Jarrow (which also serves Hebburn and the Urban Fringe villages).","http://www.southtyneside.info"
"http://dbpedia.org/resource/South_Tyneside","South Tyneside","54.95899963378906","-1.437999963760376",152875,"http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Coat_of_arms_of_South_Tyneside_Metropolitan_Borough_Council.png/200px-Coat_of_arms_of_South_Tyneside_Metropolitan_Borough_Council.png","South Tyneside is a metropolitan borough in Tyne and Wear in North East England. It is bordered by four other boroughs - Newcastle upon Tyne and Gateshead to the west, Sunderland in the south, and North Tyneside to the north. The border county of Northumberland lies further north. The borough was formed on 1 April 1974 by the merger of the County Borough of South Shields along with the municipal borough of Jarrow and the urban districts of Boldon and Hebburn from County Durham.","South Tyneside is a metropolitan borough in Tyne and Wear in North East England. It is bordered by four other boroughs - Newcastle upon Tyne and Gateshead to the west, Sunderland in the south, and North Tyneside to the north. The border county of Northumberland lies further north. The borough was formed on 1 April 1974 by the merger of the County Borough of South Shields along with the municipal borough of Jarrow and the urban districts of Boldon and Hebburn from County Durham. South Tyneside forms part of the Tyneside conurbation, the sixth largest in the United Kingdom, with a geographical area of 64.43 km and an estimated population of 153,700 (Mid-year 2010). It is bordered to the east by the North Sea and to the north by the River Tyne. A Green Belt of 23.64 km is at its southern boundary. The main administrative centre and largest town is South Shields. Other riverside towns are Jarrow and Hebburn, while the villages of Cleadon, Whitburn and The Boldons border the South Tyneside green belt which borders Wearside to the south at Sunderland. South Tyneside is represented by two Members of Parliament with two constituencies at South Shields and Jarrow (which also serves Hebburn and the Urban Fringe villages).","http://www.styo.org.uk/"
"http://dbpedia.org/resource/Ipswich","Ipswich","52.05944442749023","1.155555605888367",133384,"http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ipswich_map.png/200px-Ipswich_map.png","Ipswich Listen/ˈɪpswɪtʃ/ is a large town and a non-metropolitan district. It is the county town of Suffolk, England. Ipswich is located on the estuary of the River Orwell. Nearby towns are Felixstowe, Needham Market and Stowmarket in Suffolk and Harwich and Colchester in Essex.","Ipswich Listen/ˈɪpswɪtʃ/ is a large town and a non-metropolitan district. It is the county town of Suffolk, England. Ipswich is located on the estuary of the River Orwell. Nearby towns are Felixstowe, Needham Market and Stowmarket in Suffolk and Harwich and Colchester in Essex. The urban development of Ipswich overspills the borough boundaries significantly, with 85% of the town's population living within the borough at the time of the 2001 Census, when it was the third-largest settlement in the United Kingdom's East of England region, and the 49th largest urban area in the United Kingdom. The modern name is derived from the medieval name 'Gippeswic', probably taken either from an Old Saxon personal name or from an earlier name of the the Orwell estuary (although unrelated to the name of the River Gipping). As of 2011, the town of Ipswich was found to have a population of 133,384, while the Ipswich urban area is estimated to have a population of approximately 155,000.",
